Month,Year,X2
2,1968,61.48047903
3,1968,57.70560427
4,1968,72.16264583
5,1968,80.81013508
6,1968,83.97240344
7,1968,88.14036881
8,1968,86.14841502
9,1968,82.71352717
10,1968,83.81726308
11,1968,80.58295777
12,1968,73.18623165
1,1969,64.32025351
2,1969,NA
3,1969,52.21201865
4,1969,54.06593129
5,1969,55.04516829
6,1969,57.51015165
7,1969,68.02628882
8,1969,73.35480793
9,1969,67.55298441
10,1969,69.99233237
11,1969,69.18015904
12,1969,66.62600416
1,1970,54.81894019
2,1970,51.0258006
3,1970,56.95257552
4,1970,71.75309629
5,1970,75.89888363
6,1970,81.84216357
7,1970,84.00662279
8,1970,82.2837655
9,1970,72.26594318
10,1970,72.30012774
11,1970,69.43460529
12,1970,53.16829053
1,1971,55.13211986
2,1971,59.02608425
3,1971,63.89453355
4,1971,58.56999607
5,1971,63.70974473
6,1971,65.13755629
7,1971,71.1847395
8,1971,73.093637
9,1971,66.28888666
10,1971,68.77757892
11,1971,72.54250416
12,1971,69.82375886
1,1972,67.29587257
2,1972,66.81812135
3,1972,65.02509909
4,1972,74.92468725
5,1972,82.86995413
6,1972,88.00580097
7,1972,86.52553928
8,1972,83.07820327
9,1972,77.48460696
10,1972,75.32806912
11,1972,67.81690823
12,1972,66.15067291
1,1973,60.24582604
2,1973,51.83341118
3,1973,52.45115357
4,1973,63.83815426
5,1973,74.61581905
6,1973,76.42723809
7,1973,83.78228986
8,1973,83.42640466
9,1973,76.66085443
10,1973,73.78430037
11,1973,62.38956514
12,1973,54.57871344
1,1974,52.74510778
2,1974,55.13537601
3,1974,54.18217265
4,1974,53.69175256
5,1974,63.58405211
6,1974,67.46738163
7,1974,75.6425404
8,1974,73.08247453
9,1974,64.60744745
10,1974,67.17419566
11,1974,66.62674099
12,1974,65.19101121
1,1975,69.61369939
2,1975,60.60766831
3,1975,56.17947556
4,1975,58.65438275
5,1975,61.52840287
6,1975,62.70899772
7,1975,71.12850344
8,1975,74.52348502
9,1975,70.12000159
10,1975,68.40101031
11,1975,69.5144079
12,1975,67.65349866
1,1976,75.28434021
2,1976,82.47839042
3,1976,79.36208371
4,1976,79.70843202
5,1976,84.93038918
6,1976,87.06662891
7,1976,87.77192699
8,1976,84.90188995
9,1976,86.09291305
10,1976,90.46008899
11,1976,92.03931686
12,1976,94.45339655
1,1977,91.65402804
2,1977,93.30778928
3,1977,92.60248797
4,1977,94.42175735
5,1977,93.62226069
6,1977,96.23508038
7,1977,95.01462208
8,1977,95.68383914
9,1977,95.58880683
10,1977,97.35845469
11,1977,95.47421163
12,1977,93.30551869
1,1978,65.55130166
2,1978,59.9433516
3,1978,55.27763718
4,1978,54.62167894
5,1978,59.31840897
6,1978,72.44129362
7,1978,83.13787709
8,1978,83.82457605
9,1978,77.53622883
10,1978,76.24757901
11,1978,78.78004427
12,1978,78.85294405
1,1979,70.89940769
2,1979,64.18725802
3,1979,59.47234886
4,1979,65.9826941
5,1979,73.02896805
6,1979,77.53764908
7,1979,81.69155347
8,1979,83.66156485
9,1979,84.92477615
10,1979,83.09511945
11,1979,77.98402893
12,1979,75.63488528
1,1980,56.83340925
2,1980,57.11995276
3,1980,51.10734799
4,1980,62.0539445
5,1980,64.57888803
6,1980,68.556804
7,1980,71.30438073
8,1980,78.58537176
9,1980,77.91843621
10,1980,76.67897795
11,1980,78.56584731
12,1980,75.38793369
1,1981,79.69960023
2,1981,64.1518413
3,1981,69.24839628
4,1981,68.87945651
5,1981,79.39583554
6,1981,80.25731961
7,1981,86.32210069
8,1981,86.25053481
9,1981,87.11405228
10,1981,89.52997628
11,1981,79.00769647
12,1981,55.93393015
1,1982,54.14252727
2,1982,57.77929137
3,1982,50.87724764
4,1982,NA
5,1982,55.14439793
6,1982,61.48295424
7,1982,68.45388823
8,1982,74.79853572
9,1982,66.50484301
10,1982,66.45811037
11,1982,64.58022728
12,1982,54.85057171
1,1983,58.76200037
2,1983,NA
3,1983,NA
4,1983,49.92620077
5,1983,52.23939599
6,1983,54.09120943
7,1983,57.50518322
8,1983,65.37950303
9,1983,63.06057598
10,1983,61.83866664
11,1983,57.20865119
12,1983,49.76432424
1,1984,52.23107157
2,1984,58.34046575
3,1984,59.7845213
4,1984,66.87024631
5,1984,71.70619412
6,1984,77.26240521
7,1984,76.51508672
8,1984,74.95674717
9,1984,71.39963306
10,1984,71.42314624
11,1984,70.43352792
12,1984,62.66070176
1,1985,71.54523731
2,1985,70.23712266
3,1985,72.40171519
4,1985,75.03852047
5,1985,79.08135021
6,1985,81.14640193
7,1985,84.79434616
8,1985,85.32422728
9,1985,87.51483422
10,1985,88.82537277
11,1985,91.46514816
12,1985,80.93860317
1,1986,80.68735863
2,1986,58.4399351
3,1986,NA
4,1986,57.70788162
5,1986,68.67048516
6,1986,73.94007771
7,1986,79.5353741
8,1986,80.48700815
9,1986,78.86601919
10,1986,74.29474554
11,1986,79.5383076
12,1986,82.71819452
1,1987,78.64986199
2,1987,74.45682334
3,1987,66.6441248
4,1987,74.39175917
5,1987,84.98719578
6,1987,87.74593136
7,1987,87.02711994
8,1987,86.94286807
9,1987,90.29548023
10,1987,91.02205885
11,1987,93.38175963
12,1987,86.78310423
1,1988,74.28591211
2,1988,80.74264632
3,1988,89.38694125
4,1988,81.67785277
5,1988,82.7083615
6,1988,88.36475866
7,1988,90.11013323
8,1988,89.35985008
9,1988,90.2046371
10,1988,92.87275644
11,1988,91.6703161
12,1988,89.59481353
1,1989,88.37547022
2,1989,91.07577321
3,1989,69.34961814
4,1989,68.5361423
5,1989,78.35701259
6,1989,80.20313782
7,1989,83.047517
8,1989,80.67029872
9,1989,83.59826304
10,1989,86.40104577
11,1989,88.2488732
12,1989,87.90333635
1,1990,83.68516683
2,1990,83.4888347
3,1990,84.97173218
4,1990,88.23832157
5,1990,90.21201236
6,1990,81.4067377
7,1990,86.48753333
8,1990,84.8861951
9,1990,87.49865952
10,1990,93.60047051
11,1990,93.37530944
12,1990,91.59782402
1,1991,93.15209309
2,1991,93.81277817
3,1991,77.79775493
4,1991,76.50999669
5,1991,90.96631805
6,1991,90.99349485
7,1991,90.46374666
8,1991,90.23037204
9,1991,91.17450933
10,1991,90.66249193
11,1991,93.53407073
12,1991,93.71993722
1,1992,91.54607725
2,1992,81.2896515
3,1992,70.36476319
4,1992,77.39912763
5,1992,89.7811138
6,1992,91.91575024
7,1992,92.91924357
8,1992,93.02273553
9,1992,91.91448452
10,1992,93.60165579
11,1992,94.03634472
12,1992,87.73404533
1,1993,65.81562421
2,1993,59.88722163
3,1993,57.5203693
4,1993,58.13782185
5,1993,64.8634769
6,1993,63.68734614
7,1993,74.07964237
8,1993,74.73206936
9,1993,79.25275286
10,1993,84.95136384
11,1993,87.53351821
12,1993,83.42769211
1,1994,81.66067862
2,1994,74.1907159
3,1994,71.19196473
4,1994,80.19623741
5,1994,78.60077799
6,1994,86.27559454
7,1994,89.61733429
8,1994,89.64559882
9,1994,87.73612923
10,1994,90.68583153
11,1994,91.28277692
12,1994,84.78075683
1,1995,63.07445679
2,1995,52.09341209
