"","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"515",4,8,7,5,7,8,5,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"516",4,8,6,3,0,0,3,0,4,0,3,6,0,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"517",3,8,6,5,7,8,4,1,4,2,3,5,0,1,4,4,4,4,3,4,4,4,4,4,7,7,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"518",4,8,6,2,0,0,4,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,9,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"519",3,8,7,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,9,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"601",4,8,7,2,0,0,3,0,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,8,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"602",3,6,5,5,7,8,6,1,4,2,5,6,1,4,0,3,4,4,4,4,4,4,4,4,7,7,10,8,7,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,7,9,8,8
"603",4,8,6,2,0,0,4,0,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"604",4,8,8,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"605",4,8,7,2,0,0,4,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
"606",4,8,7,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,8,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
