Station,Microcystis,Temperature,Secchi,Salinity,N,Northing,Easting,notes,Region
908,2.366666667,20.93,157.4956667,0.153347922,30,629007.5245,4211614.975,NA,Mid SJ
909,2.166666667,21.66333333,143.2846667,0.172580108,30,634548.182,4209633.37,NA,Stockton
910,2.428571429,23.88915663,117.65,0.19052955,84,636201.2138,4207150.741,NA,Stockton
910,2.428571429,23.88915663,117.65,0.19052955,84,636053.2142,4207200.934,NA,Stockton
911,1.933333333,22.14,112.0753333,0.280949081,30,639726.1774,4206174.077,NA,Stockton
912,2.152941176,24.37857143,95.61903614,0.303941488,85,643417.1289,4203299.939,NA,Stockton
912,2.152941176,24.37857143,95.61903614,0.303941488,85,643023.8472,4203607.172,NA,Stockton
913,2.566666667,21.14482759,182.2243333,0.171308702,30,628498.626,4203509.22,NA,Mildred
914,2.714285714,23.18809524,159.636747,0.166498094,85,628741.6838,4200904.833,NA,Mildred
914,2.714285714,23.18809524,159.636747,0.166498094,85,629993.8647,4203686.016,NA,Mildred
915,2.630952381,22.65421687,148.8546988,0.219679644,84,626222.5318,4200408.334,NA,Franks
915,2.630952381,22.65421687,148.8546988,0.219679644,84,626599.7731,4201135.57,NA,Franks
918,2.690909091,24.29444444,107.8333333,0.224526042,55,625897.9927,4191170.005,NA,Clifton
919,1.209302326,21.75116279,169.1909639,0.088851978,86,632213.3995,4218517.354,NA,East
919,1.209302326,21.75116279,169.1909639,0.088851978,86,631926.7961,4218614.199,NA,East
920,1.133333333,19.41333333,175.922069,0.080725922,30,631030.0855,4222557.696,NA,East
921,1.133333333,19.22666667,156.4023333,0.075075341,30,632014.3454,4225209.718,NA,East
922,1.166666667,19.02333333,138.911,0.06546337,30,633180.7402,4229585.308,NA,East
923,1,19.27666667,203.2826667,0.076249703,30,625652.3964,4221703.623,NA,East
BET,2,21.82022227,NA,0.312222222,19,621122.3075,4210414.631,NA,Franks
BLP,1.538461538,21.29806261,NA,0.697777779,16,612413.719,4210195.23,NA,LowerSac
C10A,1.038461538,21.46846154,NA,0.182993046,26,653021.6764,4171654.75,NA,NA
C3A,1,20.91346154,164.3333333,0.067315792,27,629248.2006,4247650.411,NA,UpperSac
C9,2.19047619,23.262,NA,0.154294533,21,627249.1937,4188043.804,NA,Clifton
D10,1.703703704,20.59730769,53.53846154,4.982684468,27,594911.9859,4211505.429,NA,Montezuma
D12,2.037037037,21.085,70.15384615,1.71508032,27,604774.7562,4208885.035,NA,LowerSac
D16,2.444444444,21.94576923,123.3076923,0.268488449,27,616698.074,4217402.701,NA,Mid SJ
D19,2.518518519,22.03461538,172.4615385,0.279070386,27,621547.4323,4211575.866,NA,Franks
D22,1.62962963,21.27,66.61538462,0.915869226,27,610578.6154,4215944.451,NA,Lower SJ
D26,2.481481481,22.05307692,139.3846154,0.124860957,27,625694.4631,4215288.005,NA,Mid SJ
D28A,2.703703704,22.98769231,202.4615385,0.21244581,27,625340.1731,4203500.157,NA,Franks
D4,1.740740741,20.97192308,68.30769231,2.962013385,27,603470.7973,4213404.01,NA,Lower SJ
D41,1,18.808,101.12,26.96620644,25,555035.3706,4209353.555,NA,NA
D41A,1.038461538,19.59230769,55.38461538,22.95107657,26,553433.5546,4215390.2,NA,NA
D6,1.153846154,20.09807692,68.15384615,15.1475528,26,577417.6408,4211104.235,NA,WSuisun
D7,1.307692308,20.45692308,52.61538462,9.711156889,26,584178.4335,4219247.542,NA,WSuisun
D8,1.615384615,20.64961538,68.30769231,6.515996403,26,588604.2133,4212944.774,NA,Montezuma
DGL,3.5,21.70099989,NA,0.146666663,4,638612.8052,4186426.44,NA,SDelta
